year,lake,species,grand_total,comments,region,values
1968,Michigan,Walleye,,,Mich. Proper (WI),0
1968,Michigan,Walleye,,,WI State Total,5
1968,Michigan,Walleye,,,Illinois (IL),
1968,Michigan,Walleye,,,Indiana (IN),
1968,Michigan,Walleye,,,U.S. Total,10
1969,Michigan,Walleye,,,Green Bay (MI),3
1969,Michigan,Walleye,,,Mich. Proper (MI),0
1969,Michigan,Walleye,,,MI State Total,3
1969,Michigan,Walleye,,,Green Bay (WI),11
1969,Michigan,Walleye,,,Mich. Proper (WI),0
1969,Michigan,Walleye,,,WI State Total,11
1969,Michigan,Walleye,,,Illinois (IL),
1969,Michigan,Walleye,,,Indiana (IN),
1969,Michigan,Walleye,,,U.S. Total,14
1970,Michigan,Walleye,,,Green Bay (MI),0
1970,Michigan,Walleye,,,Mich. Proper (MI),0
1970,Michigan,Walleye,,,MI State Total,0
1970,Michigan,Walleye,,,Green Bay (WI),12
1970,Michigan,Walleye,,,Mich. Proper (WI),0
1970,Michigan,Walleye,,,WI State Total,12
1970,Michigan,Walleye,,,Illinois (IL),0
1970,Michigan,Walleye,,,Indiana (IN),0
1970,Michigan,Walleye,,,U.S. Total,12
1971,Michigan,Walleye,,,Green Bay (MI),
1971,Michigan,Walleye,,,Mich. Proper (MI),
1971,Michigan,Walleye,,,MI State Total,
1971,Michigan,Walleye,,,Green Bay (WI),10
1971,Michigan,Walleye,,,Mich. Proper (WI),0
1971,Michigan,Walleye,,,WI State Total,10
1971,Michigan,Walleye,,,Illinois (IL),
1971,Michigan,Walleye,,,Indiana (IN),
1971,Michigan,Walleye,,,U.S. Total,10
1972,Michigan,Walleye,,,Green Bay (MI),
1972,Michigan,Walleye,,,Mich. Proper (MI),
1972,Michigan,Walleye,,,MI State Total,
1972,Michigan,Walleye,,,Green Bay (WI),6
1972,Michigan,Walleye,,,Mich. Proper (WI),0
1972,Michigan,Walleye,,,WI State Total,6
1972,Michigan,Walleye,,,Illinois (IL),
1972,Michigan,Walleye,,,Indiana (IN),
1972,Michigan,Walleye,,,U.S. Total,6
1973,Michigan,Walleye,,MI: Walleye was awarded sport status and thus protection against commercial fishing.,Green Bay (MI),
1973,Michigan,Walleye,,MI: Walleye was awarded sport status and thus protection against commercial fishing.,Mich. Proper (MI),
1973,Michigan,Walleye,,MI: Walleye was awarded sport status and thus protection against commercial fishing.,MI State Total,
1973,Michigan,Walleye,,MI: Walleye was awarded sport status and thus protection against commercial fishing.,Green Bay (WI),4
1973,Michigan,Walleye,,MI: Walleye was awarded sport status and thus protection against commercial fishing.,Mich. Proper (WI),0
1973,Michigan,Walleye,,MI: Walleye was awarded sport status and thus protection against commercial fishing.,WI State Total,4
1973,Michigan,Walleye,,MI: Walleye was awarded sport status and thus protection against commercial fishing.,Illinois (IL),
1973,Michigan,Walleye,,MI: Walleye was awarded sport status and thus protection against commercial fishing.,Indiana (IN),
1973,Michigan,Walleye,,MI: Walleye was awarded sport status and thus protection against commercial fishing.,U.S. Total,4
1974,Michigan,Walleye,,,Green Bay (MI),
1974,Michigan,Walleye,,,Mich. Proper (MI),
1974,Michigan,Walleye,,,MI State Total,
1974,Michigan,Walleye,,,Green Bay (WI),6
1974,Michigan,Walleye,,,Mich. Proper (WI),0
1974,Michigan,Walleye,,,WI State Total,6
1974,Michigan,Walleye,,,Illinois (IL),
1974,Michigan,Walleye,,,Indiana (IN),
1974,Michigan,Walleye,,,U.S. Total,6
1975,Michigan,Walleye,,,Green Bay (MI),
1975,Michigan,Walleye,,,Mich. Proper (MI),
1975,Michigan,Walleye,,,MI State Total,
1975,Michigan,Walleye,,,Green Bay (WI),5
1975,Michigan,Walleye,,,Mich. Proper (WI),0
1975,Michigan,Walleye,,,WI State Total,5
1975,Michigan,Walleye,,,Illinois (IL),
1975,Michigan,Walleye,,,Indiana (IN),
1975,Michigan,Walleye,,,U.S. Total,5
1976,Michigan,Walleye,,,Green Bay (MI),
1976,Michigan,Walleye,,,Mich. Proper (MI),
1976,Michigan,Walleye,,,MI State Total,
1976,Michigan,Walleye,,,Green Bay (WI),6
1976,Michigan,Walleye,,,Mich. Proper (WI),0
1976,Michigan,Walleye,,,WI State Total,6
1976,Michigan,Walleye,,,Illinois (IL),
1976,Michigan,Walleye,,,Indiana (IN),
1976,Michigan,Walleye,,,U.S. Total,6
1977,Michigan,Walleye,,,Green Bay (MI),
1977,Michigan,Walleye,,,Mich. Proper (MI),
1977,Michigan,Walleye,,,MI State Total,
1977,Michigan,Walleye,,,Green Bay (WI),11
1977,Michigan,Walleye,,,Mich. Proper (WI),0
1977,Michigan,Walleye,,,WI State Total,11
1977,Michigan,Walleye,,,Illinois (IL),
1977,Michigan,Walleye,,,Indiana (IN),
1977,Michigan,Walleye,,,U.S. Total,11
1978,Michigan,Walleye,,,Green Bay (MI),0
1978,Michigan,Walleye,,,Mich. Proper (MI),0
1978,Michigan,Walleye,,,MI State Total,0
1978,Michigan,Walleye,,,Green Bay (WI),6
1978,Michigan,Walleye,,,Mich. Proper (WI),0
1978,Michigan,Walleye,,,WI State Total,6
1978,Michigan,Walleye,,,Illinois (IL),0
1978,Michigan,Walleye,,,Indiana (IN),0
1978,Michigan,Walleye,,,U.S. Total,6
1979,Michigan,Walleye,,,Green Bay (MI),0
1979,Michigan,Walleye,,,Mich. Proper (MI),0
1979,Michigan,Walleye,,,MI State Total,0
1979,Michigan,Walleye,,,Green Bay (WI),13
1979,Michigan,Walleye,,,Mich. Proper (WI),0
1979,Michigan,Walleye,,,WI State Total,13
1979,Michigan,Walleye,,,Illinois (IL),0
1979,Michigan,Walleye,,,Indiana (IN),0
1979,Michigan,Walleye,,,U.S. Total,13
1980,Michigan,Walleye,,,Green Bay (MI),0
1980,Michigan,Walleye,,,Mich. Proper (MI),2
1980,Michigan,Walleye,,,MI State Total,2
1980,Michigan,Walleye,,,Green Bay (WI),1
1980,Michigan,Walleye,,,Mich. Proper (WI),0
1980,Michigan,Walleye,,,WI State Total,1
1980,Michigan,Walleye,,,Illinois (IL),0
1980,Michigan,Walleye,,,Indiana (IN),0
1980,Michigan,Walleye,,,U.S. Total,3
1981,Michigan,Walleye,,,Green Bay (MI),4
1981,Michigan,Walleye,,,Mich. Proper (MI),1
1981,Michigan,Walleye,,,MI State Total,5
1981,Michigan,Walleye,,,Green Bay (WI),0
1981,Michigan,Walleye,,,Mich. Proper (WI),0
1981,Michigan,Walleye,,,WI State Total,0
1981,Michigan,Walleye,,,Illinois (IL),0
1981,Michigan,Walleye,,,Indiana (IN),0
1981,Michigan,Walleye,,,U.S. Total,5
1982,Michigan,Walleye,,,Green Bay (MI),1
1982,Michigan,Walleye,,,Mich. Proper (MI),1
1982,Michigan,Walleye,,,MI State Total,2
1982,Michigan,Walleye,,,Green Bay (WI),0
1982,Michigan,Walleye,,,Mich. Proper (WI),0
1982,Michigan,Walleye,,,WI State Total,0
1982,Michigan,Walleye,,,Illinois (IL),0
1982,Michigan,Walleye,,,Indiana (IN),0
1982,Michigan,Walleye,,,U.S. Total,2
1983,Michigan,Walleye,,,Green Bay (MI),0
1983,Michigan,Walleye,,,Mich. Proper (MI),2
1983,Michigan,Walleye,,,MI State Total,2
1983,Michigan,Walleye,,,Green Bay (WI),1
1983,Michigan,Walleye,,,Mich. Proper (WI),0
1983,Michigan,Walleye,,,WI State Total,1
1983,Michigan,Walleye,,,Illinois (IL),0
1983,Michigan,Walleye,,,Indiana (IN),0
1983,Michigan,Walleye,,,U.S. Total,3
1984,Michigan,Walleye,,,Green Bay (MI),21
1984,Michigan,Walleye,,,Mich. Proper (MI),1
1984,Michigan,Walleye,,,MI State Total,22
1984,Michigan,Walleye,,,Green Bay (WI),0
1984,Michigan,Walleye,,,Mich. Proper (WI),2
1984,Michigan,Walleye,,,WI State Total,2
1984,Michigan,Walleye,,,Illinois (IL),0
1984,Michigan,Walleye,,,Indiana (IN),0
1984,Michigan,Walleye,,,U.S. Total,24
1985,Michigan,Walleye,,,Green Bay (MI),6
1985,Michigan,Walleye,,,Mich. Proper (MI),1
1985,Michigan,Walleye,,,MI State Total,7
1985,Michigan,Walleye,,,Green Bay (WI),0
1985,Michigan,Walleye,,,Mich. Proper (WI),0
1985,Michigan,Walleye,,,WI State Total,0
1985,Michigan,Walleye,,,Illinois (IL),0
1985,Michigan,Walleye,,,Indiana (IN),0
1985,Michigan,Walleye,,,U.S. Total,7
1986,Michigan,Walleye,,,Green Bay (MI),0
1986,Michigan,Walleye,,,Mich. Proper (MI),2
1986,Michigan,Walleye,,,MI State Total,2
1986,Michigan,Walleye,,,Green Bay (WI),0
1986,Michigan,Walleye,,,Mich. Proper (WI),0
1986,Michigan,Walleye,,,WI State Total,0
1986,Michigan,Walleye,,,Illinois (IL),0
1986,Michigan,Walleye,,,Indiana (IN),0
1986,Michigan,Walleye,,,U.S. Total,2
1987,Michigan,Walleye,,,Green Bay (MI),0
1987,Michigan,Walleye,,,Mich. Proper (MI),0
1987,Michigan,Walleye,,,MI State Total,0
1987,Michigan,Walleye,,,Green Bay (WI),0
1987,Michigan,Walleye,,,Mich. Proper (WI),0
1987,Michigan,Walleye,,,WI State Total,0
1987,Michigan,Walleye,,,Illinois (IL),0
1987,Michigan,Walleye,,,Indiana (IN),0
1987,Michigan,Walleye,,,U.S. Total,0
1988,Michigan,Walleye,,,Green Bay (MI),0
1988,Michigan,Walleye,,,Mich. Proper (MI),1
1988,Michigan,Walleye,,,MI State Total,1
1988,Michigan,Walleye,,,Green Bay (WI),0
1988,Michigan,Walleye,,,Mich. Proper (WI),0
1988,Michigan,Walleye,,,WI State Total,0
1988,Michigan,Walleye,,,Illinois (IL),0
1988,Michigan,Walleye,,,Indiana (IN),0
1988,Michigan,Walleye,,,U.S. Total,1
1989,Michigan,Walleye,,,Green Bay (MI),0
1989,Michigan,Walleye,,,Mich. Proper (MI),5
1989,Michigan,Walleye,,,MI State Total,5
1989,Michigan,Walleye,,,Green Bay (WI),0
1989,Michigan,Walleye,,,Mich. Proper (WI),0
1989,Michigan,Walleye,,,WI State Total,0
1989,Michigan,Walleye,,,Illinois (IL),0
1989,Michigan,Walleye,,,Indiana (IN),0
1989,Michigan,Walleye,,,U.S. Total,5
1990,Michigan,Walleye,,,Green Bay (MI),0
1990,Michigan,Walleye,,,Mich. Proper (MI),1
1990,Michigan,Walleye,,,MI State Total,1
1990,Michigan,Walleye,,,Green Bay (WI),0
1990,Michigan,Walleye,,,Mich. Proper (WI),0
1990,Michigan,Walleye,,,WI State Total,0
1990,Michigan,Walleye,,,Illinois (IL),0
1990,Michigan,Walleye,,,Indiana (IN),0
1990,Michigan,Walleye,,,U.S. Total,1
1991,Michigan,Walleye,,,Green Bay (MI),
1991,Michigan,Walleye,,,Mich. Proper (MI),
1991,Michigan,Walleye,,,MI State Total,2
1991,Michigan,Walleye,,,Green Bay (WI),
1991,Michigan,Walleye,,,Mich. Proper (WI),
1991,Michigan,Walleye,,,WI State Total,0
1991,Michigan,Walleye,,,Illinois (IL),0
1991,Michigan,Walleye,,,Indiana (IN),0
1991,Michigan,Walleye,,,U.S. Total,2
1992,Michigan,Walleye,,,Green Bay (MI),0
1992,Michigan,Walleye,,,Mich. Proper (MI),3
1992,Michigan,Walleye,,,MI State Total,3
1992,Michigan,Walleye,,,Green Bay (WI),
1992,Michigan,Walleye,,,Mich. Proper (WI),
1992,Michigan,Walleye,,,WI State Total,
1992,Michigan,Walleye,,,Illinois (IL),0
1992,Michigan,Walleye,,,Indiana (IN),0
1992,Michigan,Walleye,,,U.S. Total,3
1993,Michigan,Walleye,,,Green Bay (MI),0
1993,Michigan,Walleye,,,Mich. Proper (MI),4
1993,Michigan,Walleye,,,MI State Total,4
1993,Michigan,Walleye,,,Green Bay (WI),0
1993,Michigan,Walleye,,,Mich. Proper (WI),0
1993,Michigan,Walleye,,,WI State Total,0
1993,Michigan,Walleye,,,Illinois (IL),0
1993,Michigan,Walleye,,,Indiana (IN),0
1993,Michigan,Walleye,,,U.S. Total,4
1994,Michigan,Walleye,,,Green Bay (MI),0
1994,Michigan,Walleye,,,Mich. Proper (MI),3
1994,Michigan,Walleye,,,MI State Total,3
1994,Michigan,Walleye,,,Green Bay (WI),0
1994,Michigan,Walleye,,,Mich. Proper (WI),0
1994,Michigan,Walleye,,,WI State Total,0
1994,Michigan,Walleye,,,Illinois (IL),0
1994,Michigan,Walleye,,,Indiana (IN),0
1994,Michigan,Walleye,,,U.S. Total,3
1995,Michigan,Walleye,,,Green Bay (MI),0
1995,Michigan,Walleye,,,Mich. Proper (MI),0
1995,Michigan,Walleye,,,MI State Total,0
1995,Michigan,Walleye,,,Green Bay (WI),0
1995,Michigan,Walleye,,,Mich. Proper (WI),0
1995,Michigan,Walleye,,,WI State Total,0
1995,Michigan,Walleye,,,Illinois (IL),0
1995,Michigan,Walleye,,,Indiana (IN),0
1995,Michigan,Walleye,,,U.S. Total,0
1996,Michigan,Walleye,,,Green Bay (MI),0
1996,Michigan,Walleye,,,Mich. Proper (MI),3
1996,Michigan,Walleye,,,MI State Total,3
1996,Michigan,Walleye,,,Green Bay (WI),0
1996,Michigan,Walleye,,,Mich. Proper (WI),0
1996,Michigan,Walleye,,,WI State Total,0
1996,Michigan,Walleye,,,Illinois (IL),0
1996,Michigan,Walleye,,,Indiana (IN),0
1996,Michigan,Walleye,,,U.S. Total,3
1997,Michigan,Walleye,,,Green Bay (MI),0
1997,Michigan,Walleye,,,Mich. Proper (MI),9
1997,Michigan,Walleye,,,MI State Total,9
1997,Michigan,Walleye,,,Green Bay (WI),0
1997,Michigan,Walleye,,,Mich. Proper (WI),0
1997,Michigan,Walleye,,,WI State Total,0
1997,Michigan,Walleye,,,Illinois (IL),0
1997,Michigan,Walleye,,,Indiana (IN),0
1997,Michigan,Walleye,,,U.S. Total,9
1998,Michigan,Walleye,,,Green Bay (MI),0
1998,Michigan,Walleye,,,Mich. Proper (MI),2
1998,Michigan,Walleye,,,MI State Total,2
1998,Michigan,Walleye,,,Green Bay (WI),0
1998,Michigan,Walleye,,,Mich. Proper (WI),0
1998,Michigan,Walleye,,,WI State Total,0
1998,Michigan,Walleye,,,Illinois (IL),0
1998,Michigan,Walleye,,,Indiana (IN),0
1998,Michigan,Walleye,,,U.S. Total,2
1999,Michigan,Walleye,,,Green Bay (MI),0
1999,Michigan,Walleye,,,Mich. Proper (MI),1
1999,Michigan,Walleye,,,MI State Total,1
1999,Michigan,Walleye,,,Green Bay (WI),0
1999,Michigan,Walleye,,,Mich. Proper (WI),0
1999,Michigan,Walleye,,,WI State Total,0
1999,Michigan,Walleye,,,Illinois (IL),0
1999,Michigan,Walleye,,,Indiana (IN),0
1999,Michigan,Walleye,,,U.S. Total,1
2000,Michigan,Walleye,,,Green Bay (MI),0
2000,Michigan,Walleye,,,Mich. Proper (MI),13
2000,Michigan,Walleye,,,MI State Total,13
2000,Michigan,Walleye,,,Green Bay (WI),
2000,Michigan,Walleye,,,Mich. Proper (WI),
2000,Michigan,Walleye,,,WI State Total,
2000,Michigan,Walleye,,,Illinois (IL),
2000,Michigan,Walleye,,,Indiana (IN),
2000,Michigan,Walleye,,,U.S. Total,13
2001,Michigan,Walleye,,,Green Bay (MI),
2001,Michigan,Walleye,,,Mich. Proper (MI),13
2001,Michigan,Walleye,,,MI State Total,13
2001,Michigan,Walleye,,,Green Bay (WI),
2001,Michigan,Walleye,,,Mich. Proper (WI),
2001,Michigan,Walleye,,,WI State Total,0
2001,Michigan,Walleye,,,Illinois (IL),
2001,Michigan,Walleye,,,Indiana (IN),
2001,Michigan,Walleye,,,U.S. Total,13
2002,Michigan,Walleye,,,Green Bay (MI),
2002,Michigan,Walleye,,,Mich. Proper (MI),15
2002,Michigan,Walleye,,,MI State Total,15
2002,Michigan,Walleye,,,Green Bay (WI),
2002,Michigan,Walleye,,,Mich. Proper (WI),
2002,Michigan,Walleye,,,WI State Total,
2002,Michigan,Walleye,,,Illinois (IL),
2002,Michigan,Walleye,,,Indiana (IN),
2002,Michigan,Walleye,,,U.S. Total,15
2003,Michigan,Walleye,,,Green Bay (MI),
2003,Michigan,Walleye,,,Mich. Proper (MI),9
2003,Michigan,Walleye,,,MI State Total,9
2003,Michigan,Walleye,,,Green Bay (WI),
2003,Michigan,Walleye,,,Mich. Proper (WI),
2003,Michigan,Walleye,,,WI State Total,
2003,Michigan,Walleye,,,Illinois (IL),
2003,Michigan,Walleye,,,Indiana (IN),
2003,Michigan,Walleye,,,U.S. Total,9
2004,Michigan,Walleye,,,Green Bay (MI),
2004,Michigan,Walleye,,,Mich. Proper (MI),22
2004,Michigan,Walleye,,,MI State Total,22
2004,Michigan,Walleye,,,Green Bay (WI),
2004,Michigan,Walleye,,,Mich. Proper (WI),
2004,Michigan,Walleye,,,WI State Total,
2004,Michigan,Walleye,,,Illinois (IL),
2004,Michigan,Walleye,,,Indiana (IN),
2004,Michigan,Walleye,,,U.S. Total,22
2005,Michigan,Walleye,,,Green Bay (MI),
2005,Michigan,Walleye,,,Mich. Proper (MI),19
2005,Michigan,Walleye,,,MI State Total,19
2005,Michigan,Walleye,,,Green Bay (WI),
2005,Michigan,Walleye,,,Mich. Proper (WI),
2005,Michigan,Walleye,,,WI State Total,0
2005,Michigan,Walleye,,,Illinois (IL),
2005,Michigan,Walleye,,,Indiana (IN),
2005,Michigan,Walleye,,,U.S. Total,19
2006,Michigan,Walleye,,,Green Bay (MI),
2006,Michigan,Walleye,,,Mich. Proper (MI),3
2006,Michigan,Walleye,,,MI State Total,3
2006,Michigan,Walleye,,,Green Bay (WI),
2006,Michigan,Walleye,,,Mich. Proper (WI),
2006,Michigan,Walleye,,,WI State Total,
2006,Michigan,Walleye,,,Illinois (IL),
2006,Michigan,Walleye,,,Indiana (IN),
2006,Michigan,Walleye,,,U.S. Total,3
2007,Michigan,Walleye,,,Green Bay (MI),0
2007,Michigan,Walleye,,,Mich. Proper (MI),20
2007,Michigan,Walleye,,,MI State Total,20
2007,Michigan,Walleye,,,Green Bay (WI),
2007,Michigan,Walleye,,,Mich. Proper (WI),
2007,Michigan,Walleye,,,WI State Total,
2007,Michigan,Walleye,,,Illinois (IL),
2007,Michigan,Walleye,,,Indiana (IN),
2007,Michigan,Walleye,,,U.S. Total,20
2008,Michigan,Walleye,,,Green Bay (MI),
2008,Michigan,Walleye,,,Mich. Proper (MI),28
2008,Michigan,Walleye,,,MI State Total,28
2008,Michigan,Walleye,,,Green Bay (WI),
2008,Michigan,Walleye,,,Mich. Proper (WI),
2008,Michigan,Walleye,,,WI State Total,
2008,Michigan,Walleye,,,Illinois (IL),
2008,Michigan,Walleye,,,Indiana (IN),
2008,Michigan,Walleye,,,U.S. Total,28
2009,Michigan,Walleye,,,Green Bay (MI),
2009,Michigan,Walleye,,,Mich. Proper (MI),11
2009,Michigan,Walleye,,,MI State Total,11
2009,Michigan,Walleye,,,Green Bay (WI),
2009,Michigan,Walleye,,,Mich. Proper (WI),
2009,Michigan,Walleye,,,WI State Total,
2009,Michigan,Walleye,,,Illinois (IL),
2009,Michigan,Walleye,,,Indiana (IN),
2009,Michigan,Walleye,,,U.S. Total,11
2010,Michigan,Walleye,,,Green Bay (MI),
2010,Michigan,Walleye,,,Mich. Proper (MI),9
2010,Michigan,Walleye,,,MI State Total,9
2010,Michigan,Walleye,,,Green Bay (WI),
2010,Michigan,Walleye,,,Mich. Proper (WI),
2010,Michigan,Walleye,,,WI State Total,
2010,Michigan,Walleye,,,Illinois (IL),
2010,Michigan,Walleye,,,Indiana (IN),
2010,Michigan,Walleye,,,U.S. Total,9
2011,Michigan,Walleye,,,Green Bay (MI),
2011,Michigan,Walleye,,,Mich. Proper (MI),9
2011,Michigan,Walleye,,,MI State Total,9
2011,Michigan,Walleye,,,Green Bay (WI),
2011,Michigan,Walleye,,,Mich. Proper (WI),
2011,Michigan,Walleye,,,WI State Total,
2011,Michigan,Walleye,,,Illinois (IL),
2011,Michigan,Walleye,,,Indiana (IN),
2011,Michigan,Walleye,,,U.S. Total,9
2012,Michigan,Walleye,,,Green Bay (MI),
2012,Michigan,Walleye,,,Mich. Proper (MI),9
2012,Michigan,Walleye,,,MI State Total,9
2012,Michigan,Walleye,,,Green Bay (WI),
2012,Michigan,Walleye,,,Mich. Proper (WI),
2012,Michigan,Walleye,,,WI State Total,
2012,Michigan,Walleye,,,Illinois (IL),
2012,Michigan,Walleye,,,Indiana (IN),
2012,Michigan,Walleye,,,U.S. Total,9
2013,Michigan,Walleye,,,Green Bay (MI),
2013,Michigan,Walleye,,,Mich. Proper (MI),10
2013,Michigan,Walleye,,,MI State Total,10
2013,Michigan,Walleye,,,Green Bay (WI),
2013,Michigan,Walleye,,,Mich. Proper (WI),
2013,Michigan,Walleye,,,WI State Total,
2013,Michigan,Walleye,,,Illinois (IL),
2013,Michigan,Walleye,,,Indiana (IN),
2013,Michigan,Walleye,,,U.S. Total,10
2014,Michigan,Walleye,,,Green Bay (MI),
2014,Michigan,Walleye,,,Mich. Proper (MI),7
2014,Michigan,Walleye,,,MI State Total,7
2014,Michigan,Walleye,,,Green Bay (WI),
2014,Michigan,Walleye,,,Mich. Proper (WI),
2014,Michigan,Walleye,,,WI State Total,
2014,Michigan,Walleye,,,Illinois (IL),
2014,Michigan,Walleye,,,Indiana (IN),
2014,Michigan,Walleye,,,U.S. Total,7
2015,Michigan,Walleye,,,Green Bay (MI),
2015,Michigan,Walleye,,,Mich. Proper (MI),5
2015,Michigan,Walleye,,,MI State Total,5
2015,Michigan,Walleye,,,Green Bay (WI),
2015,Michigan,Walleye,,,Mich. Proper (WI),
2015,Michigan,Walleye,,,WI State Total,
2015,Michigan,Walleye,,,Illinois (IL),
2015,Michigan,Walleye,,,Indiana (IN),
2015,Michigan,Walleye,,,U.S. Total,5
1997,Michigan,White Bass,,,Green Bay (MI),0
1997,Michigan,White Bass,,,Mich. Proper (MI),0
1997,Michigan,White Bass,,,MI State Total,0
1997,Michigan,White Bass,,,Green Bay (WI),5
1997,Michigan,White Bass,,,Mich. Proper (WI),0
1997,Michigan,White Bass,,,WI State Total,5
1997,Michigan,White Bass,,,Illinois (IL),0
1997,Michigan,White Bass,,,Indiana (IN),0
1997,Michigan,White Bass,,,U.S. Total,5
1998,Michigan,White Bass,,,Green Bay (MI),0
1998,Michigan,White Bass,,,Mich. Proper (MI),0
1998,Michigan,White Bass,,,MI State Total,0
1998,Michigan,White Bass,,,Green Bay (WI),0
1998,Michigan,White Bass,,,Mich. Proper (WI),0
1998,Michigan,White Bass,,,WI State Total,0
1998,Michigan,White Bass,,,Illinois (IL),0
1998,Michigan,White Bass,,,Indiana (IN),0
1998,Michigan,White Bass,,,U.S. Total,0
1999,Michigan,White Bass,,,Green Bay (MI),0
1999,Michigan,White Bass,,,Mich. Proper (MI),0
1999,Michigan,White Bass,,,MI State Total,0
1999,Michigan,White Bass,,,Green Bay (WI),0
1999,Michigan,White Bass,,,Mich. Proper (WI),0
1999,Michigan,White Bass,,,WI State Total,0
1999,Michigan,White Bass,,,Illinois (IL),0
1999,Michigan,White Bass,,,Indiana (IN),0
1999,Michigan,White Bass,,,U.S. Total,0
2000,Michigan,White Bass,,,Green Bay (MI),
2000,Michigan,White Bass,,,Mich. Proper (MI),
2000,Michigan,White Bass,,,MI State Total,
2000,Michigan,White Bass,,,Green Bay (WI),0
2000,Michigan,White Bass,,,Mich. Proper (WI),
2000,Michigan,White Bass,,,WI State Total,0
2000,Michigan,White Bass,,,Illinois (IL),
2000,Michigan,White Bass,,,Indiana (IN),
2000,Michigan,White Bass,,,U.S. Total,0
2001,Michigan,White Bass,,,Green Bay (MI),
2001,Michigan,White Bass,,,Mich. Proper (MI),
2001,Michigan,White Bass,,,MI State Total,
2001,Michigan,White Bass,,,Green Bay (WI),1
2001,Michigan,White Bass,,,Mich. Proper (WI),
2001,Michigan,White Bass,,,WI State Total,1
2001,Michigan,White Bass,,,Illinois (IL),
2001,Michigan,White Bass,,,Indiana (IN),
2001,Michigan,White Bass,,,U.S. Total,1
2003,Michigan,White Bass,,,Green Bay (MI),
2003,Michigan,White Bass,,,Mich. Proper (MI),
2003,Michigan,White Bass,,,MI State Total,
2003,Michigan,White Bass,,,Green Bay (WI),0
2003,Michigan,White Bass,,,Mich. Proper (WI),
2003,Michigan,White Bass,,,WI State Total,0
2003,Michigan,White Bass,,,Illinois (IL),
2003,Michigan,White Bass,,,Indiana (IN),
2003,Michigan,White Bass,,,U.S. Total,0
2004,Michigan,White Bass,,,Green Bay (MI),
2004,Michigan,White Bass,,,Mich. Proper (MI),
2004,Michigan,White Bass,,,MI State Total,
2004,Michigan,White Bass,,,Green Bay (WI),0
2004,Michigan,White Bass,,,Mich. Proper (WI),
2004,Michigan,White Bass,,,WI State Total,0
2004,Michigan,White Bass,,,Illinois (IL),
2004,Michigan,White Bass,,,Indiana (IN),
2004,Michigan,White Bass,,,U.S. Total,0
2005,Michigan,White Bass,,,Green Bay (MI),
2005,Michigan,White Bass,,,Mich. Proper (MI),
2005,Michigan,White Bass,,,MI State Total,
2005,Michigan,White Bass,,,Green Bay (WI),0
2005,Michigan,White Bass,,,Mich. Proper (WI),
2005,Michigan,White Bass,,,WI State Total,0
2005,Michigan,White Bass,,,Illinois (IL),
2005,Michigan,White Bass,,,Indiana (IN),
2005,Michigan,White Bass,,,U.S. Total,0
2006,Michigan,White Bass,,,Green Bay (MI),
2006,Michigan,White Bass,,,Mich. Proper (MI),
2006,Michigan,White Bass,,,MI State Total,
2006,Michigan,White Bass,,,Green Bay (WI),1
2006,Michigan,White Bass,,,Mich. Proper (WI),
2006,Michigan,White Bass,,,WI State Total,1
2006,Michigan,White Bass,,,Illinois (IL),
2006,Michigan,White Bass,,,Indiana (IN),
2006,Michigan,White Bass,,,U.S. Total,1
2007,Michigan,White Bass,,,Green Bay (MI),
2007,Michigan,White Bass,,,Mich. Proper (MI),
2007,Michigan,White Bass,,,MI State Total,
2007,Michigan,White Bass,,,Green Bay (WI),0
2007,Michigan,White Bass,,,Mich. Proper (WI),
2007,Michigan,White Bass,,,WI State Total,0
2007,Michigan,White Bass,,,Illinois (IL),
2007,Michigan,White Bass,,,Indiana (IN),
2007,Michigan,White Bass,,,U.S. Total,0
2008,Michigan,White Bass,,,Green Bay (MI),
2008,Michigan,White Bass,,,Mich. Proper (MI),
2008,Michigan,White Bass,,,MI State Total,
2008,Michigan,White Bass,,,Green Bay (WI),1
2008,Michigan,White Bass,,,Mich. Proper (WI),
2008,Michigan,White Bass,,,WI State Total,1
2008,Michigan,White Bass,,,Illinois (IL),
2008,Michigan,White Bass,,,Indiana (IN),
2008,Michigan,White Bass,,,U.S. Total,1
2009,Michigan,White Bass,,,Green Bay (MI),
2009,Michigan,White Bass,,,Mich. Proper (MI),
2009,Michigan,White Bass,,,MI State Total,
2009,Michigan,White Bass,,,Green Bay (WI),0
2009,Michigan,White Bass,,,Mich. Proper (WI),
2009,Michigan,White Bass,,,WI State Total,0
2009,Michigan,White Bass,,,Illinois (IL),
2009,Michigan,White Bass,,,Indiana (IN),
2009,Michigan,White Bass,,,U.S. Total,0
2010,Michigan,White Bass,,,Green Bay (MI),
2010,Michigan,White Bass,,,Mich. Proper (MI),
2010,Michigan,White Bass,,,MI State Total,
2010,Michigan,White Bass,,,Green Bay (WI),1
2010,Michigan,White Bass,,,Mich. Proper (WI),
2010,Michigan,White Bass,,,WI State Total,1
2010,Michigan,White Bass,,,Illinois (IL),
2010,Michigan,White Bass,,,Indiana (IN),
2010,Michigan,White Bass,,,U.S. Total,1
2011,Michigan,White Bass,,,Green Bay (MI),
2011,Michigan,White Bass,,,Mich. Proper (MI),
2011,Michigan,White Bass,,,MI State Total,
2011,Michigan,White Bass,,,Green Bay (WI),0
2011,Michigan,White Bass,,,Mich. Proper (WI),
